# freq, re(lna), im(lna), re(amb), im(amb), re(hot), im(hot), re(open), im(open), re(short), im(short), re(sr_s11), im(sr_s11_, re(sr_s12), im(sr_s12), re(sr_s22_, im(sr_s22)
43.908691 -3.998712e-03 2.357463e-02 -4.022773e-02 -4.332017e-02 -1.209616e-02 -1.098950e-02 -4.135743e-01 9.031968e-01 2.728028e-01 -8.125981e-01 2.121702e-01 -1.881583e-02 7.946071e-01 -2.701225e-01 -1.365768e-01 2.354665e-01
43.957520 -3.982061e-03 2.357486e-02 -3.865229e-02 -4.191558e-02 -1.127707e-02 -1.075398e-02 -3.968971e-01 9.091234e-01 2.618024e-01 -8.193068e-01 2.053702e-01 -1.779107e-02 8.000793e-01 -2.688004e-01 -1.327828e-01 2.278445e-01
44.006348 -3.965146e-03 2.357482e-02 -3.710955e-02 -4.054305e-02 -1.047783e-02 -1.052102e-02 -3.801443e-01 9.147849e-01 2.505690e-01 -8.258427e-01 1.987214e-01 -1.680052e-02 8.054372e-01 -2.675114e-01 -1.290469e-01 2.203934e-01
44.055176 -3.947969e-03 2.357451e-02 -3.559937e-02 -3.920233e-02 -9.698266e-03 -1.029068e-02 -3.633186e-01 9.201800e-01 2.391058e-01 -8.321983e-01 1.922227e-01 -1.584361e-02 8.106813e-01 -2.662552e-01 -1.253694e-01 2.131121e-01
44.104004 -3.930533e-03 2.357392e-02 -3.412158e-02 -3.789316e-02 -8.938184e-03 -1.006301e-02 -3.464229e-01 9.253075e-01 2.274165e-01 -8.383665e-01 1.858730e-01 -1.491979e-02 8.158120e-01 -2.650317e-01 -1.217511e-01 2.059994e-01
44.152832 -3.912840e-03 2.357306e-02 -3.267604e-02 -3.661530e-02 -8.197390e-03 -9.838069e-03 -3.294604e-01 9.301661e-01 2.155047e-01 -8.443399e-01 1.796712e-01 -1.402850e-02 8.208297e-01 -2.638406e-01 -1.181923e-01 1.990539e-01
44.201660 -3.894893e-03 2.357194e-02 -3.126257e-02 -3.536848e-02 -7.475681e-03 -9.615910e-03 -3.124341e-01 9.347545e-01 2.033749e-01 -8.501116e-01 1.736162e-01 -1.316915e-02 8.257352e-01 -2.626816e-01 -1.146934e-01 1.922742e-01
44.250488 -3.876695e-03 2.357054e-02 -2.988096e-02 -3.415242e-02 -6.772846e-03 -9.396580e-03 -2.953472e-01 9.390712e-01 1.910311e-01 -8.556745e-01 1.677067e-01 -1.234116e-02 8.305291e-01 -2.615544e-01 -1.112549e-01 1.856591e-01
44.299316 -3.858249e-03 2.356887e-02 -2.853101e-02 -3.296682e-02 -6.088664e-03 -9.180124e-03 -2.782028e-01 9.431151e-01 1.784782e-01 -8.610219e-01 1.619413e-01 -1.154394e-02 8.352120e-01 -2.604589e-01 -1.078771e-01 1.792068e-01
44.348145 -3.839557e-03 2.356694e-02 -2.721246e-02 -3.181134e-02 -5.422895e-03 -8.966582e-03 -2.610040e-01 9.468847e-01 1.657207e-01 -8.661471e-01 1.563185e-01 -1.077687e-02 8.397849e-01 -2.593945e-01 -1.045601e-01 1.729158e-01
44.396973 -3.820622e-03 2.356474e-02 -2.592513e-02 -3.068570e-02 -4.775333e-03 -8.756003e-03 -2.437548e-01 9.503786e-01 1.527641e-01 -8.710435e-01 1.508372e-01 -1.003938e-02 8.442483e-01 -2.583612e-01 -1.013044e-01 1.667845e-01
44.445801 -3.801447e-03 2.356228e-02 -2.466871e-02 -2.958955e-02 -4.145723e-03 -8.548418e-03 -2.264583e-01 9.535954e-01 1.396135e-01 -8.757047e-01 1.454956e-01 -9.330838e-03 8.486033e-01 -2.573585e-01 -9.810991e-02 1.608112e-01
44.494629 -3.782035e-03 2.355955e-02 -2.344295e-02 -2.852255e-02 -3.533819e-03 -8.343863e-03 -2.091179e-01 9.565340e-01 1.262744e-01 -8.801245e-01 1.402923e-01 -8.650622e-03 8.528507e-01 -2.563862e-01 -9.497688e-02 1.549940e-01
44.543457 -3.762388e-03 2.355656e-02 -2.224754e-02 -2.748432e-02 -2.939368e-03 -8.142369e-03 -1.917373e-01 9.591928e-01 1.127526e-01 -8.842970e-01 1.352255e-01 -7.998111e-03 8.569915e-01 -2.554438e-01 -9.190534e-02 1.493311e-01
